date,id_store_sent,id_store_receive,id_product,reason,quantity,status
2025-01-13 09:00:00,999999999,123456789,4567890123456,Initial restock,30,received
2025-01-14 08:00:00,999999999,846546546,2345678901234,Initial restock,50,received
2026-02-06 10:00:00,999999999,666666666,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 10:15:00,999999999,888888888,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 10:30:00,999999999,111111111,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 10:45:00,123456789,666666666,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 11:00:00,123456789,888888888,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 11:15:00,123456789,111111111,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 11:30:00,846546546,666666666,4567890123456,Approved transfer suggestion,5,in_transit
2026-02-06 11:45:00,999999999,666666666,4567890123456,Approved transfer suggestion,5,in_transit
