serial_number,code_barre,quantity,range_date
846546546,1234567890123,3,2025-01-15
846546546,2345678901234,12,2025-01-15
846546546,3456789012345,5,2025-01-16
846546546,4567890123456,8,2025-01-16
846546546,5678901234567,2,2025-01-17
846546546,6789012345678,6,2025-01-17
846546546,7890123456789,4,2025-01-18
846546546,8901234567890,7,2025-01-18
846546546,9012345678901,3,2025-01-19
846546546,0123456789012,2,2025-01-19
123456789,1234567890123,4,2025-01-15
123456789,2345678901234,15,2025-01-15
123456789,3456789012345,8,2025-01-16
123456789,4567890123456,10,2025-01-16
123456789,5678901234567,3,2025-01-17
123456789,6789012345678,8,2025-01-17
123456789,7890123456789,5,2025-01-18
123456789,8901234567890,9,2025-01-18
123456789,9012345678901,4,2025-01-19
123456789,0123456789012,3,2025-01-19
846546546,1234567890123,2,2025-01-20
846546546,2345678901234,10,2025-01-20
123456789,1234567890123,3,2025-01-20
123456789,2345678901234,12,2025-01-20
846546546,5678901234567,1,2025-01-21
123456789,5678901234567,2,2025-01-21
