date,id_store_sent,id_store_receive,id_product,reason,quantity
2025-01-10,999999999,846546546,1234567890123,Restock after high sales,10
2025-01-11,999999999,123456789,2345678901234,Initial stock allocation,30
2025-01-12,999999999,111111111,2345678901234,Airport kiosk restock,15
2025-01-13,888888888,777777777,8901234567890,New store opening stock,20
2025-01-14,999999999,666666666,1234567890123,City center grand opening,5
2025-01-15,999999999,846546546,4567890123456,USB-C hub restock,20
2025-01-16,888888888,123456789,5678901234567,Monitor restock,5
2025-01-17,999999999,777777777,9012345678901,External SSD restock,10
2025-01-18,999999999,111111111,6789012345678,Webcam restock,10
2025-01-19,888888888,666666666,123456789012,Docking station restock,25
