serial_number,code_barre,quantity
846546546,1234567890123,25
846546546,2345678901234,150
846546546,3456789012345,80
846546546,4567890123456,60
846546546,5678901234567,15
846546546,6789012345678,40
846546546,7890123456789,30
846546546,8901234567890,50
846546546,9012345678901,35
846546546,0123456789012,20
123456789,1234567890123,30
123456789,2345678901234,120
123456789,3456789012345,100
123456789,4567890123456,75
123456789,5678901234567,20
123456789,6789012345678,45
123456789,7890123456789,25
123456789,8901234567890,60
123456789,9012345678901,40
123456789,0123456789012,15
